COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
1967,NOVO,PESSOAL,F,,16,
1968,TOMADOR,CDC,F,26,8,
1969,NOVO,CDC,F,33,3,
1970,INVESTIDOR,CDC,M,37,0,29
1971,NOVO,CDC,F,40,5,
1972,TOMADOR,CDC,F,30,9,8
1973,INVESTIDOR,RENEGOCIAÇÃO,M,44,0,14
1974,NOVO,CDC,F,40,16,
1975,NOVO,CDC,M,38,0,15
1976,NOVO,CDC,M,35,16,
1977,,RENEGOCIAÇÃO,M,48,2,97
1978,TOMADOR,RENEGOCIAÇÃO,M,31,1,
1979,INVESTIDOR,CDC,F,35,0,2
1980,NOVO,PESSOAL,M,20,16,
1981,NOVO,PESSOAL,M,55,0,3
1982,INVESTIDOR,CDC,F,34,0,5
1983,NOVO,RENEGOCIAÇÃO,M,30,7,
1984,TOMADOR,CDC,F,72,0,63
1985,NOVO,CDC,M,27,1,
1986,NOVO,CDC,F,35,10,
1987,TOMADOR,PESSOAL,M,,0,5
1988,NOVO,CDC,M,64,0,10
1989,NOVO,CDC,M,49,0,21
1990,NOVO,RENEGOCIAÇÃO,F,44,2,
1991,NOVO,PESSOAL,,57,16,11
1992,INVESTIDOR,CDC,M,51,0,23
1993,INVESTIDOR,CDC,F,43,0,3
1994,NOVO,RENEGOCIAÇÃO,M,41,0,18
1995,NOVO,CDC,M,21,9,
1996,INVESTIDOR,CDC,M,,14,71
1997,NOVO,CDC,M,28,1,
1998,NOVO,CDC,M,32,3,11
1999,TOMADOR,CDC,M,48,16,
2000,NOVO,PESSOAL,M,57,16,
2001,NOVO,CDC,M,23,8,
2002,NOVO,CDC,M,26,0,10
2003,TOMADOR,PESSOAL,M,31,16,
2004,INVESTIDOR,RENEGOCIAÇÃO,M,36,1,142
2005,TOMADOR,PESSOAL,F,29,16,32
2006,NOVO,PESSOAL,F,,16,
2007,NOVO,CDC,M,36,0,
2008,NOVO,CDC,M,,1,
2009,INVESTIDOR,RENEGOCIAÇÃO,,49,0,6
2010,TOMADOR,PESSOAL,F,33,1,5
2011,INVESTIDOR,RENEGOCIAÇÃO,F,58,6,
2012,TOMADOR,CDC,F,,0,
2013,NOVO,CDC,M,47,14,7
2014,INVESTIDOR,CDC,F,25,0,3
2015,NOVO,RENEGOCIAÇÃO,,35,16,
2016,INVESTIDOR,RENEGOCIAÇÃO,F,49,9,22
2017,NOVO,CDC,M,29,8,
2018,NOVO,RENEGOCIAÇÃO,F,56,5,
2019,NOVO,PESSOAL,F,38,5,7
2020,INVESTIDOR,CDC,F,43,0,2
2021,NOVO,PESSOAL,M,34,0,14
2022,INVESTIDOR,RENEGOCIAÇÃO,M,38,2,
2023,NOVO,CDC,F,23,1,99
2024,NOVO,CDC,F,63,9,
2025,NOVO,RENEGOCIAÇÃO,,44,16,
2026,INVESTIDOR,CDC,M,46,0,203
2027,NOVO,CDC,,22,15,
2028,NOVO,PESSOAL,M,33,6,5
2029,NOVO,CDC,,38,0,2
2030,TOMADOR,CDC,M,52,2,
2031,NOVO,CDC,,41,16,
2032,NOVO,CDC,M,48,1,
2033,INVESTIDOR,RENEGOCIAÇÃO,I,36,3,
2034,TOMADOR,PESSOAL,M,39,7,2
2035,,RENEGOCIAÇÃO,M,35,0,2
2036,NOVO,PESSOAL,F,38,8,44
2037,NOVO,PESSOAL,M,30,12,
2038,NOVO,PESSOAL,F,38,0,2
2039,NOVO,CDC,F,33,0,14
2040,NOVO,CDC,M,58,5,
2041,INVESTIDOR,CDC,F,62,0,4
2042,NOVO,CDC,M,,0,8
2043,INVESTIDOR,CDC,M,31,0,35
2044,NOVO,PESSOAL,,24,0,6
2045,NOVO,CDC,M,33,0,3
2046,TOMADOR,CDC,M,31,15,
2047,NOVO,PESSOAL,F,,9,
2048,NOVO,RENEGOCIAÇÃO,F,,0,
2049,INVESTIDOR,CDC,I,31,0,3
2050,NOVO,RENEGOCIAÇÃO,,19,5,
2051,NOVO,CDC,M,50,0,5
2052,NOVO,PESSOAL,M,51,3,3
2053,TOMADOR,CDC,F,30,3,97
2054,INVESTIDOR,RENEGOCIAÇÃO,F,54,1,3
2055,NOVO,RENEGOCIAÇÃO,F,38,1,35
2056,INVESTIDOR,RENEGOCIAÇÃO,F,23,0,31
2057,NOVO,CDC,M,29,6,
2058,NOVO,CDC,,48,0,10
2059,TOMADOR,CDC,M,43,0,36
2060,INVESTIDOR,CDC,M,55,0,8
2061,NOVO,CDC,F,47,3,
2062,INVESTIDOR,PESSOAL,F,44,16,8
2063,INVESTIDOR,CDC,F,43,0,26
2064,NOVO,RENEGOCIAÇÃO,F,35,0,27
2065,NOVO,RENEGOCIAÇÃO,F,26,1,5
2066,TOMADOR,CDC,,58,5,45
2067,INVESTIDOR,CDC,M,38,0,55
2068,NOVO,RENEGOCIAÇÃO,M,78,0,
2069,TOMADOR,CDC,F,34,16,
2070,NOVO,PESSOAL,M,20,0,9
2071,TOMADOR,PESSOAL,M,36,16,
2072,TOMADOR,CDC,F,36,0,25
2073,INVESTIDOR,CDC,M,25,4,
2074,NOVO,RENEGOCIAÇÃO,M,31,10,
2075,NOVO,CDC,M,38,6,5
2076,INVESTIDOR,RENEGOCIAÇÃO,I,39,0,3
2077,TOMADOR,RENEGOCIAÇÃO,F,32,4,
2078,NOVO,RENEGOCIAÇÃO,F,67,16,
2079,NOVO,PESSOAL,M,40,16,
2080,NOVO,CDC,,24,15,
2081,NOVO,CDC,M,,0,5
2082,TOMADOR,CDC,M,22,13,
2083,TOMADOR,CDC,M,,0,5
2084,TOMADOR,CDC,M,26,16,
2085,NOVO,PESSOAL,,56,3,
2086,INVESTIDOR,CDC,F,36,0,13
2087,NOVO,CDC,F,67,3,19
2088,NOVO,CDC,,78,0,7
2089,NOVO,CDC,M,42,16,
2090,INVESTIDOR,PESSOAL,F,44,16,43
2091,NOVO,CDC,M,40,3,12
2092,NOVO,CDC,M,29,10,
2093,TOMADOR,CDC,M,68,1,24
2094,NOVO,CDC,M,30,0,3
2095,NOVO,CDC,F,36,16,103
2096,NOVO,CDC,M,36,0,
2097,NOVO,CDC,M,58,0,43
2098,NOVO,RENEGOCIAÇÃO,F,20,16,
2099,NOVO,RENEGOCIAÇÃO,M,41,7,
2100,NOVO,CDC,F,25,0,8
2101,NOVO,PESSOAL,M,,0,15
2102,NOVO,CDC,F,51,0,13
2103,TOMADOR,CDC,F,20,0,29
2104,NOVO,CDC,M,,9,
2105,NOVO,CDC,M,32,16,
2106,NOVO,CDC,M,35,2,
2107,NOVO,PESSOAL,M,55,0,11
2108,INVESTIDOR,CDC,F,64,0,7
2109,NOVO,CDC,F,48,2,16
2110,INVESTIDOR,CDC,M,35,0,6
2111,NOVO,CDC,M,35,4,
2112,NOVO,PESSOAL,M,40,0,11
2113,INVESTIDOR,RENEGOCIAÇÃO,F,35,0,3
2114,TOMADOR,CDC,M,46,4,234
2115,NOVO,PESSOAL,,,5,
2116,NOVO,CDC,,30,0,4
2117,NOVO,CDC,F,30,0,
2118,INVESTIDOR,CDC,M,58,0,31
2119,NOVO,CDC,M,43,0,267
2120,INVESTIDOR,CDC,F,40,0,2
2121,NOVO,CDC,M,41,16,
2122,NOVO,CDC,F,40,16,
2123,NOVO,CDC,,,13,
2124,INVESTIDOR,CDC,F,31,15,
2125,INVESTIDOR,CDC,M,31,0,32
2126,INVESTIDOR,RENEGOCIAÇÃO,M,62,0,6
2127,INVESTIDOR,CDC,M,54,9,
2128,NOVO,CDC,F,59,2,13
2129,NOVO,PESSOAL,,24,16,
2130,NOVO,CDC,M,35,16,2
2131,TOMADOR,RENEGOCIAÇÃO,,,14,
2132,INVESTIDOR,CDC,F,29,1,2
2133,INVESTIDOR,CDC,M,37,0,4
2134,INVESTIDOR,RENEGOCIAÇÃO,M,58,0,2
2135,NOVO,CDC,M,34,4,17
2136,NOVO,CDC,F,48,0,
2137,INVESTIDOR,RENEGOCIAÇÃO,M,50,16,
2138,NOVO,CDC,F,63,0,15
2139,NOVO,PESSOAL,F,23,15,
2140,INVESTIDOR,CDC,F,39,7,15
2141,NOVO,CDC,M,24,1,34
2142,INVESTIDOR,CDC,M,27,1,
2143,NOVO,CDC,M,66,5,23
2144,TOMADOR,CDC,M,53,10,
2145,TOMADOR,CDC,M,53,16,16
2146,NOVO,CDC,M,29,0,16
2147,INVESTIDOR,CDC,F,39,0,6
2148,NOVO,PESSOAL,,29,0,6
2149,NOVO,CDC,F,19,0,6
2150,INVESTIDOR,CDC,M,28,0,7
2151,NOVO,PESSOAL,F,22,0,14
2152,NOVO,PESSOAL,M,27,3,3
2153,NOVO,PESSOAL,F,22,0,6
2154,INVESTIDOR,CDC,M,28,7,
2155,TOMADOR,CDC,F,23,0,71
2156,NOVO,RENEGOCIAÇÃO,F,23,11,
2157,INVESTIDOR,RENEGOCIAÇÃO,M,53,1,14
2158,INVESTIDOR,RENEGOCIAÇÃO,F,43,0,22
2159,NOVO,RENEGOCIAÇÃO,M,37,16,
2160,NOVO,CDC,M,32,10,
2161,INVESTIDOR,CDC,F,31,15,
2162,NOVO,RENEGOCIAÇÃO,,22,0,
2163,NOVO,CDC,M,37,0,2
2164,NOVO,CDC,M,57,0,4
2165,NOVO,RENEGOCIAÇÃO,I,,0,
2166,NOVO,CDC,,65,0,15
2167,TOMADOR,CDC,M,26,0,3
2168,NOVO,RENEGOCIAÇÃO,F,42,3,6
2169,INVESTIDOR,CDC,M,37,0,24
2170,TOMADOR,PESSOAL,F,,16,
2171,INVESTIDOR,RENEGOCIAÇÃO,F,48,2,8
2172,INVESTIDOR,CDC,M,28,9,
2173,NOVO,PESSOAL,M,25,0,4
2174,INVESTIDOR,CDC,F,75,0,6
2175,NOVO,CDC,F,38,0,58
2176,TOMADOR,PESSOAL,M,40,13,
2177,NOVO,CDC,,28,0,24
2178,NOVO,CDC,,31,8,11
2179,NOVO,PESSOAL,F,27,1,7
2180,NOVO,CDC,F,43,1,16
2181,NOVO,CDC,M,45,0,15
2182,TOMADOR,PESSOAL,F,20,16,
2183,NOVO,CDC,F,33,3,7
2184,NOVO,RENEGOCIAÇÃO,F,,1,
2185,INVESTIDOR,CDC,M,42,0,12
2186,NOVO,CDC,M,33,4,
2187,NOVO,CDC,M,62,4,42
2188,INVESTIDOR,RENEGOCIAÇÃO,M,43,0,7
2189,TOMADOR,CDC,M,27,12,204
2190,NOVO,CDC,M,35,0,2
2191,NOVO,RENEGOCIAÇÃO,M,46,4,
2192,INVESTIDOR,CDC,F,53,0,3
2193,NOVO,RENEGOCIAÇÃO,,38,0,
2194,NOVO,PESSOAL,M,70,16,
2195,NOVO,CDC,M,35,16,
2196,NOVO,CDC,F,41,0,29
2197,INVESTIDOR,RENEGOCIAÇÃO,M,48,0,10
2198,INVESTIDOR,CDC,F,44,4,39
2199,TOMADOR,RENEGOCIAÇÃO,F,35,0,33
2200,INVESTIDOR,RENEGOCIAÇÃO,F,29,12,29
2201,NOVO,CDC,M,56,0,13
2202,INVESTIDOR,CDC,M,35,1,7
2203,NOVO,PESSOAL,M,,1,
2204,NOVO,CDC,M,,0,
2205,INVESTIDOR,PESSOAL,M,37,16,209
2206,INVESTIDOR,RENEGOCIAÇÃO,M,25,7,
2207,NOVO,CDC,M,37,0,11
2208,NOVO,RENEGOCIAÇÃO,F,24,1,
2209,NOVO,CDC,F,,0,7
2210,NOVO,PESSOAL,,,16,
2211,TOMADOR,CDC,M,48,2,12
2212,INVESTIDOR,RENEGOCIAÇÃO,F,76,0,8
2213,NOVO,CDC,F,22,0,10
2214,NOVO,CDC,M,62,2,
2215,INVESTIDOR,CDC,F,37,0,2
2216,TOMADOR,RENEGOCIAÇÃO,F,24,0,5
2217,NOVO,CDC,M,45,1,136
2218,TOMADOR,PESSOAL,F,24,15,
2219,NOVO,PESSOAL,M,,6,
2220,NOVO,CDC,M,,3,
2221,NOVO,RENEGOCIAÇÃO,M,35,6,
2222,INVESTIDOR,RENEGOCIAÇÃO,I,53,0,7
2223,INVESTIDOR,CDC,F,23,5,5
2224,TOMADOR,RENEGOCIAÇÃO,F,53,1,5
2225,NOVO,CDC,M,33,4,
2226,NOVO,PESSOAL,M,28,0,8
2227,NOVO,PESSOAL,M,,9,
2228,NOVO,CDC,F,24,1,5
2229,NOVO,CDC,F,38,1,14
2230,INVESTIDOR,CDC,,63,0,3
2231,NOVO,CDC,M,38,3,
2232,TOMADOR,CDC,M,42,1,6
2233,NOVO,RENEGOCIAÇÃO,M,44,13,
2234,NOVO,CDC,F,31,16,
2235,NOVO,PESSOAL,M,49,16,7
2236,TOMADOR,CDC,M,33,16,
2237,INVESTIDOR,PESSOAL,F,29,16,
2238,NOVO,CDC,M,37,16,
2239,NOVO,PESSOAL,M,38,16,
2240,NOVO,CDC,M,44,8,
2241,NOVO,CDC,M,61,8,
2242,NOVO,PESSOAL,M,,4,
2243,INVESTIDOR,CDC,F,77,0,20
2244,INVESTIDOR,RENEGOCIAÇÃO,F,41,0,9
2245,INVESTIDOR,RENEGOCIAÇÃO,F,30,0,
2246,TOMADOR,CDC,F,,0,14
2247,NOVO,PESSOAL,M,30,15,
2248,NOVO,CDC,F,26,16,
2249,NOVO,PESSOAL,M,44,16,
2250,NOVO,PESSOAL,F,,16,
2251,NOVO,RENEGOCIAÇÃO,M,42,16,11
2252,TOMADOR,CDC,M,25,5,
2253,NOVO,CDC,,38,10,
2254,NOVO,CDC,F,46,0,6
2255,NOVO,RENEGOCIAÇÃO,F,30,0,13
2256,INVESTIDOR,CDC,F,54,0,5
2257,NOVO,RENEGOCIAÇÃO,F,43,0,6
2258,NOVO,CDC,F,40,0,12
2259,NOVO,CDC,,29,11,176
2260,NOVO,CDC,F,33,0,7
2261,INVESTIDOR,CDC,M,48,0,3
2262,INVESTIDOR,CDC,M,24,7,20
2263,NOVO,CDC,,41,5,
2264,INVESTIDOR,CDC,M,34,0,3
2265,TOMADOR,CDC,F,38,0,61
2266,NOVO,CDC,F,,9,
2267,NOVO,PESSOAL,F,39,16,
2268,NOVO,PESSOAL,M,29,0,29
2269,INVESTIDOR,RENEGOCIAÇÃO,F,46,0,39
2270,INVESTIDOR,CDC,,33,3,
2271,NOVO,CDC,M,63,4,
2272,INVESTIDOR,RENEGOCIAÇÃO,F,43,0,7
2273,NOVO,CDC,M,30,0,15
2274,NOVO,PESSOAL,F,37,16,
2275,NOVO,PESSOAL,M,,16,
2276,NOVO,CDC,M,52,0,8
2277,NOVO,PESSOAL,,43,7,7
2278,NOVO,PESSOAL,M,22,0,94
2279,INVESTIDOR,PESSOAL,M,30,16,
2280,NOVO,PESSOAL,,,3,67
2281,INVESTIDOR,CDC,M,63,13,
2282,INVESTIDOR,CDC,F,36,0,5
2283,NOVO,CDC,M,,7,26
2284,INVESTIDOR,CDC,F,25,0,32
2285,NOVO,RENEGOCIAÇÃO,F,27,0,
2286,NOVO,CDC,M,34,16,
2287,NOVO,CDC,M,,16,
2288,NOVO,CDC,M,18,1,34
2289,NOVO,PESSOAL,F,24,6,33
2290,NOVO,RENEGOCIAÇÃO,M,30,2,
2291,INVESTIDOR,CDC,M,30,0,30
2292,NOVO,RENEGOCIAÇÃO,M,28,4,29
2293,NOVO,CDC,M,30,3,
2294,NOVO,CDC,M,34,0,
2295,TOMADOR,PESSOAL,F,29,0,12
2296,INVESTIDOR,CDC,M,80,0,16
2297,NOVO,CDC,M,46,16,
2298,TOMADOR,CDC,F,55,0,42
2299,TOMADOR,PESSOAL,F,35,16,15
2300,TOMADOR,CDC,,60,9,29
2301,NOVO,CDC,M,,14,
2302,NOVO,CDC,,27,0,4
2303,INVESTIDOR,CDC,F,25,16,
2304,NOVO,CDC,F,44,3,5
2305,INVESTIDOR,RENEGOCIAÇÃO,I,53,0,4
2306,NOVO,CDC,F,26,0,31
2307,NOVO,CDC,M,22,7,
2308,NOVO,CDC,F,31,6,44
2309,INVESTIDOR,RENEGOCIAÇÃO,M,65,4,45
2310,NOVO,CDC,M,43,0,7
2311,TOMADOR,RENEGOCIAÇÃO,,33,12,
2312,NOVO,PESSOAL,M,24,2,
2313,NOVO,CDC,M,37,16,
2314,TOMADOR,RENEGOCIAÇÃO,I,37,13,6
2315,TOMADOR,CDC,F,,11,8
2316,INVESTIDOR,CDC,M,24,12,
2317,NOVO,CDC,F,79,0,
2318,INVESTIDOR,CDC,F,55,6,10
2319,NOVO,CDC,M,38,16,27
2320,INVESTIDOR,CDC,F,53,16,5
2321,NOVO,CDC,F,52,3,5
2322,INVESTIDOR,CDC,F,51,0,77
2323,NOVO,CDC,F,,6,
2324,NOVO,PESSOAL,M,46,0,
2325,NOVO,CDC,F,44,11,26
2326,TOMADOR,CDC,M,57,3,3
2327,NOVO,RENEGOCIAÇÃO,M,43,2,
2328,NOVO,CDC,M,29,16,
2329,INVESTIDOR,CDC,F,51,1,11
2330,NOVO,CDC,M,41,0,2
2331,INVESTIDOR,CDC,M,40,9,21
2332,NOVO,CDC,M,42,16,7
2333,NOVO,CDC,M,26,0,
2334,NOVO,CDC,F,,12,
2335,TOMADOR,CDC,M,37,0,19
2336,INVESTIDOR,CDC,M,63,0,126
2337,NOVO,CDC,M,47,16,
2338,NOVO,CDC,M,37,8,134
2339,NOVO,PESSOAL,M,44,14,
2340,NOVO,CDC,M,52,16,
2341,NOVO,CDC,F,39,12,
2342,NOVO,PESSOAL,M,30,16,
2343,TOMADOR,CDC,F,36,0,413
2344,NOVO,CDC,F,23,10,4
2345,INVESTIDOR,CDC,M,58,4,22
2346,NOVO,CDC,M,27,0,14
2347,NOVO,PESSOAL,M,43,0,3
2348,INVESTIDOR,RENEGOCIAÇÃO,F,,0,181
2349,NOVO,RENEGOCIAÇÃO,M,27,0,25
2350,NOVO,CDC,M,33,4,
2351,INVESTIDOR,CDC,F,44,0,5
2352,NOVO,CDC,,34,0,6
2353,NOVO,CDC,F,,16,
2354,INVESTIDOR,CDC,M,32,16,3
2355,NOVO,CDC,M,61,0,8
2356,TOMADOR,PESSOAL,,38,3,43
2357,NOVO,CDC,F,,16,
2358,NOVO,PESSOAL,F,29,10,20
2359,TOMADOR,PESSOAL,F,45,0,
2360,NOVO,RENEGOCIAÇÃO,F,37,0,
2361,INVESTIDOR,RENEGOCIAÇÃO,F,34,0,5
2362,NOVO,CDC,M,28,3,13
2363,NOVO,CDC,M,,1,13
2364,NOVO,RENEGOCIAÇÃO,F,41,11,
2365,INVESTIDOR,PESSOAL,F,57,0,11
2366,INVESTIDOR,RENEGOCIAÇÃO,F,52,0,26
2367,NOVO,CDC,M,28,11,
2368,TOMADOR,CDC,M,32,0,6
2369,NOVO,RENEGOCIAÇÃO,F,37,8,
2370,INVESTIDOR,CDC,I,31,7,15
2371,NOVO,PESSOAL,M,42,14,4
2372,NOVO,RENEGOCIAÇÃO,M,,16,
2373,INVESTIDOR,CDC,,40,0,24
2374,TOMADOR,RENEGOCIAÇÃO,F,30,1,
2375,NOVO,CDC,F,,5,
2376,NOVO,CDC,F,41,8,4
2377,NOVO,CDC,F,28,8,
2378,INVESTIDOR,CDC,F,49,0,21
2379,NOVO,PESSOAL,M,48,12,
2380,TOMADOR,CDC,M,34,16,
2381,INVESTIDOR,CDC,F,38,5,
2382,NOVO,RENEGOCIAÇÃO,M,26,12,4
2383,INVESTIDOR,CDC,F,43,0,5
2384,NOVO,CDC,M,33,2,
2385,INVESTIDOR,CDC,F,36,0,3
2386,NOVO,CDC,M,29,16,
2387,NOVO,RENEGOCIAÇÃO,M,29,0,12
2388,TOMADOR,CDC,M,67,2,
2389,NOVO,RENEGOCIAÇÃO,F,27,0,14
2390,NOVO,CDC,F,63,0,11
2391,NOVO,PESSOAL,M,31,16,
2392,INVESTIDOR,CDC,M,52,0,
2393,TOMADOR,PESSOAL,M,29,0,13
2394,NOVO,CDC,M,41,16,
2395,NOVO,CDC,F,,10,
2396,TOMADOR,CDC,F,47,1,26
2397,TOMADOR,RENEGOCIAÇÃO,F,28,11,
2398,INVESTIDOR,RENEGOCIAÇÃO,M,46,3,4
2399,TOMADOR,CDC,M,39,7,14
2400,NOVO,CDC,F,33,0,
2401,NOVO,CDC,I,45,16,15
2402,NOVO,RENEGOCIAÇÃO,M,40,11,16
2403,NOVO,CDC,M,50,16,
2404,NOVO,CDC,M,36,0,17
2405,INVESTIDOR,CDC,F,35,16,116
2406,INVESTIDOR,CDC,F,42,0,150
2407,NOVO,CDC,M,39,1,
2408,NOVO,RENEGOCIAÇÃO,M,26,4,
2409,INVESTIDOR,CDC,M,66,0,
2410,NOVO,CDC,M,22,7,
2411,NOVO,PESSOAL,M,30,7,
2412,NOVO,RENEGOCIAÇÃO,,,3,4
2413,NOVO,RENEGOCIAÇÃO,F,29,0,14
2414,NOVO,CDC,M,51,7,
2415,NOVO,CDC,M,,12,
2416,TOMADOR,CDC,M,52,16,24
2417,NOVO,PESSOAL,M,40,0,18
2418,INVESTIDOR,RENEGOCIAÇÃO,M,41,0,5
2419,INVESTIDOR,CDC,F,40,0,15
2420,NOVO,CDC,F,62,0,6
2421,NOVO,RENEGOCIAÇÃO,M,57,3,
2422,NOVO,CDC,M,33,16,54
2423,INVESTIDOR,CDC,,30,0,13
2424,NOVO,CDC,M,38,16,26
2425,INVESTIDOR,CDC,F,60,0,8
2426,NOVO,RENEGOCIAÇÃO,F,25,16,
2427,NOVO,CDC,M,38,11,
2428,INVESTIDOR,PESSOAL,F,32,16,3
2429,NOVO,CDC,M,51,2,
2430,INVESTIDOR,CDC,M,32,0,9
2431,NOVO,CDC,M,33,6,
2432,TOMADOR,CDC,M,28,16,
2433,NOVO,RENEGOCIAÇÃO,,37,0,104
2434,NOVO,PESSOAL,M,,10,
2435,INVESTIDOR,CDC,F,47,3,4
2436,NOVO,CDC,F,35,0,
2437,INVESTIDOR,RENEGOCIAÇÃO,M,31,0,14
2438,NOVO,CDC,F,66,0,16
2439,INVESTIDOR,CDC,F,56,0,31
2440,INVESTIDOR,CDC,M,38,0,2
2441,NOVO,PESSOAL,F,57,7,2
2442,TOMADOR,CDC,F,,0,4
2443,NOVO,CDC,,40,0,16
2444,NOVO,CDC,M,48,13,6
2445,NOVO,PESSOAL,F,,16,
2446,TOMADOR,PESSOAL,F,30,9,12
2447,NOVO,PESSOAL,F,,2,
2448,NOVO,RENEGOCIAÇÃO,F,25,4,
2449,NOVO,CDC,M,,16,
2450,INVESTIDOR,PESSOAL,M,43,1,2
2451,NOVO,CDC,,53,0,
2452,INVESTIDOR,RENEGOCIAÇÃO,,90,4,
2453,NOVO,CDC,F,20,9,
2454,TOMADOR,CDC,F,84,8,
2455,NOVO,PESSOAL,,37,0,36
2456,NOVO,CDC,F,46,15,
2457,INVESTIDOR,PESSOAL,M,53,16,4
2458,INVESTIDOR,PESSOAL,M,31,16,
2459,TOMADOR,CDC,,21,14,
2460,NOVO,CDC,F,30,16,
2461,NOVO,RENEGOCIAÇÃO,F,39,0,3
2462,NOVO,CDC,F,20,0,2
2463,TOMADOR,CDC,F,32,1,3
2464,NOVO,RENEGOCIAÇÃO,F,41,0,303
2465,NOVO,CDC,F,,16,
2466,NOVO,CDC,M,20,4,
2467,NOVO,CDC,M,34,0,
2468,NOVO,CDC,F,42,0,4
2469,INVESTIDOR,CDC,M,44,0,11
2470,NOVO,CDC,F,,4,35
2471,NOVO,PESSOAL,F,,2,
2472,NOVO,PESSOAL,F,42,7,15
2473,INVESTIDOR,CDC,M,48,8,
2474,NOVO,RENEGOCIAÇÃO,M,22,1,3
2475,NOVO,PESSOAL,M,30,15,
2476,NOVO,CDC,F,42,6,5
2477,NOVO,PESSOAL,F,,10,6
2478,TOMADOR,CDC,,29,0,102
2479,TOMADOR,CDC,M,66,0,6
2480,INVESTIDOR,CDC,M,45,0,5
2481,INVESTIDOR,CDC,M,32,3,26
2482,NOVO,CDC,F,39,12,35
2483,INVESTIDOR,CDC,F,30,0,7
2484,NOVO,CDC,M,49,11,
2485,NOVO,RENEGOCIAÇÃO,F,40,0,8
2486,INVESTIDOR,CDC,I,40,0,28
2487,INVESTIDOR,CDC,M,41,4,254
2488,TOMADOR,CDC,M,30,0,8
2489,NOVO,PESSOAL,F,,16,
2490,NOVO,RENEGOCIAÇÃO,,36,0,13
2491,NOVO,CDC,I,22,16,
2492,NOVO,CDC,M,,16,
2493,NOVO,RENEGOCIAÇÃO,F,47,16,14
2494,NOVO,PESSOAL,M,26,8,40
2495,NOVO,CDC,M,33,2,
2496,NOVO,RENEGOCIAÇÃO,F,38,6,
2497,INVESTIDOR,CDC,M,23,0,3
2498,TOMADOR,CDC,M,36,16,40
2499,NOVO,CDC,F,46,0,2
2500,NOVO,RENEGOCIAÇÃO,M,25,5,
2501,INVESTIDOR,PESSOAL,F,25,0,14
2502,INVESTIDOR,RENEGOCIAÇÃO,F,34,0,2
2503,TOMADOR,CDC,M,37,5,
2504,NOVO,CDC,M,45,0,35
2505,NOVO,CDC,F,29,0,8
2506,NOVO,PESSOAL,M,35,14,
2507,NOVO,CDC,F,31,0,2
2508,NOVO,CDC,M,54,16,18
2509,NOVO,CDC,F,39,0,9
2510,NOVO,CDC,M,53,1,53
2511,TOMADOR,PESSOAL,F,35,0,43
2512,TOMADOR,PESSOAL,F,26,0,37
2513,NOVO,RENEGOCIAÇÃO,F,49,0,22
2514,NOVO,RENEGOCIAÇÃO,M,48,1,
2515,NOVO,CDC,M,32,7,
2516,INVESTIDOR,CDC,F,41,16,
2517,INVESTIDOR,CDC,M,44,0,16
2518,NOVO,CDC,F,40,0,2
2519,INVESTIDOR,CDC,M,58,0,14
2520,NOVO,CDC,M,,1,
2521,TOMADOR,CDC,F,52,0,14
2522,NOVO,CDC,M,35,16,
2523,NOVO,RENEGOCIAÇÃO,M,47,0,6
2524,NOVO,CDC,M,35,2,4
2525,NOVO,RENEGOCIAÇÃO,F,42,0,32
2526,NOVO,CDC,M,50,0,8
2527,NOVO,PESSOAL,F,25,3,
2528,NOVO,CDC,M,44,8,
2529,NOVO,PESSOAL,F,41,3,
2530,INVESTIDOR,CDC,F,68,0,3
2531,NOVO,CDC,M,18,1,6
2532,NOVO,CDC,F,46,2,32
2533,NOVO,CDC,F,41,0,
2534,NOVO,PESSOAL,M,33,0,7
2535,INVESTIDOR,CDC,,47,0,
2536,NOVO,PESSOAL,M,20,9,
2537,NOVO,RENEGOCIAÇÃO,F,29,1,
2538,NOVO,CDC,M,54,4,13
2539,NOVO,CDC,M,29,0,
2540,INVESTIDOR,CDC,M,42,0,25
2541,INVESTIDOR,RENEGOCIAÇÃO,M,79,0,17
2542,NOVO,PESSOAL,M,24,16,
2543,NOVO,CDC,M,57,1,14
2544,NOVO,CDC,F,35,6,61
2545,INVESTIDOR,CDC,M,53,0,8
2546,NOVO,CDC,F,44,15,13
2547,NOVO,CDC,M,30,0,7
2548,NOVO,CDC,M,46,0,11
2549,NOVO,RENEGOCIAÇÃO,F,26,1,3
2550,TOMADOR,RENEGOCIAÇÃO,F,36,16,22
2551,INVESTIDOR,CDC,F,38,0,6
2552,NOVO,CDC,F,38,8,11
2553,INVESTIDOR,CDC,M,57,15,175
2554,INVESTIDOR,RENEGOCIAÇÃO,M,40,0,
2555,NOVO,PESSOAL,,46,0,10
2556,NOVO,CDC,M,36,1,9
2557,INVESTIDOR,CDC,M,42,0,3
2558,INVESTIDOR,CDC,M,43,0,2
2559,TOMADOR,CDC,M,77,2,5
2560,NOVO,CDC,M,46,2,27
2561,TOMADOR,CDC,F,39,2,
2562,NOVO,CDC,F,34,16,
2563,TOMADOR,CDC,,29,0,6
2564,NOVO,RENEGOCIAÇÃO,,32,0,80
2565,INVESTIDOR,CDC,,33,0,2
2566,INVESTIDOR,CDC,F,78,0,5
2567,NOVO,CDC,M,40,3,272
