COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
142,NOVO,PESSOAL,M,41,0,2
143,NOVO,CDC,,41,0,6
144,NOVO,RENEGOCIAÇÃO,F,37,0,
145,NOVO,CDC,F,46,4,7
146,INVESTIDOR,CDC,F,34,0,3
147,NOVO,RENEGOCIAÇÃO,F,54,1,
148,NOVO,RENEGOCIAÇÃO,F,40,9,
149,NOVO,CDC,,19,6,
150,NOVO,CDC,M,44,14,9
151,NOVO,CDC,M,27,7,
152,INVESTIDOR,CDC,M,37,0,
153,INVESTIDOR,PESSOAL,M,54,0,
154,NOVO,RENEGOCIAÇÃO,,56,9,17
155,NOVO,RENEGOCIAÇÃO,,35,11,
156,INVESTIDOR,RENEGOCIAÇÃO,F,35,0,
157,INVESTIDOR,CDC,M,53,13,
158,INVESTIDOR,CDC,,45,0,9
159,NOVO,CDC,M,21,16,
160,NOVO,CDC,M,25,1,41
161,NOVO,CDC,M,63,16,
162,NOVO,CDC,F,28,16,
163,NOVO,CDC,M,34,1,
164,NOVO,CDC,M,30,10,2
165,NOVO,CDC,M,60,0,4
166,NOVO,RENEGOCIAÇÃO,M,,1,14
167,NOVO,CDC,F,40,1,19
168,NOVO,RENEGOCIAÇÃO,M,28,0,
169,NOVO,CDC,F,24,11,
170,NOVO,RENEGOCIAÇÃO,F,47,1,65
171,NOVO,CDC,M,42,1,7
172,NOVO,CDC,M,28,2,7
173,NOVO,CDC,M,,3,
174,NOVO,RENEGOCIAÇÃO,F,,8,
175,NOVO,CDC,F,,14,
176,TOMADOR,CDC,F,,0,3
177,INVESTIDOR,RENEGOCIAÇÃO,F,31,8,
178,INVESTIDOR,PESSOAL,M,,0,3
179,NOVO,PESSOAL,M,44,16,
180,NOVO,RENEGOCIAÇÃO,I,,0,
181,NOVO,CDC,F,35,0,239
182,TOMADOR,CDC,F,,0,7
183,NOVO,RENEGOCIAÇÃO,M,40,0,5
184,NOVO,CDC,F,33,8,
185,NOVO,CDC,M,30,8,
186,NOVO,CDC,M,27,1,190
187,INVESTIDOR,CDC,M,25,0,
188,NOVO,CDC,M,21,4,
189,NOVO,PESSOAL,M,51,6,
190,INVESTIDOR,CDC,F,44,1,13
191,TOMADOR,CDC,M,33,1,3
192,NOVO,CDC,F,49,10,
193,NOVO,CDC,M,41,3,
194,TOMADOR,RENEGOCIAÇÃO,M,27,16,
195,NOVO,RENEGOCIAÇÃO,F,,16,
196,INVESTIDOR,RENEGOCIAÇÃO,M,53,0,23
197,NOVO,CDC,M,71,0,14
198,NOVO,PESSOAL,,40,4,
199,NOVO,RENEGOCIAÇÃO,M,55,0,8
200,TOMADOR,CDC,F,45,0,4
201,NOVO,PESSOAL,M,,0,407
202,NOVO,PESSOAL,M,43,0,31
203,INVESTIDOR,CDC,,67,0,11
204,INVESTIDOR,CDC,M,72,0,6
205,NOVO,RENEGOCIAÇÃO,,43,1,10
206,NOVO,RENEGOCIAÇÃO,M,34,5,
207,NOVO,CDC,M,36,16,
208,NOVO,CDC,F,20,8,7
209,TOMADOR,CDC,M,58,2,8
210,TOMADOR,RENEGOCIAÇÃO,,32,0,128
211,NOVO,CDC,M,47,16,
212,NOVO,CDC,F,67,3,18
213,NOVO,RENEGOCIAÇÃO,,23,4,7
214,NOVO,PESSOAL,F,33,0,
215,NOVO,PESSOAL,M,,0,2
216,NOVO,PESSOAL,M,40,4,4
